term,group,active
Lombok Tengah,local,true
Loteng,local,true
Praya,local,true
Mandalika,local,true
KEK Mandalika,local,true
Bandara Internasional Lombok,local,true
Batukliang,local,true
Batukliang Utara,local,true
Janapria,local,true
Jonggat,local,true
Kopang,local,true
Praya Barat,local,true
Praya Barat Daya,local,true
Praya Tengah,local,true
Praya Timur,local,true
Pringgarata,local,true
Pujut,local,true
Mujur,local,true
Kuta Lombok,local,true
Nusa Tenggara Barat,province,true
NTB,province,true
Kota Mataram,other_ntb,true
Mataram,other_ntb,true
Lombok Barat,other_ntb,true
Lombok Timur,other_ntb,true
Lombok Utara,other_ntb,true
Kabupaten Bima,other_ntb,true
Kota Bima,other_ntb,true
Bima,other_ntb,true
Dompu,other_ntb,true
Sumbawa Barat,other_ntb,true
Sumbawa,other_ntb,true
