taxonomy_code,keyword_type,keyword,weight,match_mode,serper_query
LU.A,include,sektor pertanian,3,phrase,true
LU.A,positive,produksi pertanian meningkat,3,phrase,false
LU.A,negative,produksi pertanian menurun,3,phrase,false
LU.A.1,include,usaha pertanian,3,phrase,true
LU.A.1.a,include,produksi padi,3,phrase,true
LU.A.1.a,include,gagal panen,4,phrase,true
LU.A.1.a,include,lahan sawah,3,phrase,true
LU.A.1.a,positive,panen raya,4,phrase,false
LU.A.1.a,positive,produksi padi meningkat,3,phrase,false
LU.A.1.a,negative,gagal panen,4,phrase,false
LU.A.1.a,negative,produksi padi turun,3,phrase,false
LU.A.1.b,include,produksi hortikultura,3,phrase,true
LU.A.1.b,include,petani sayur,3,phrase,true
LU.A.1.b,include,panen cabai,3,phrase,true
LU.A.1.b,positive,panen melimpah,3,phrase,false
LU.A.1.b,negative,gagal panen,3,phrase,false
LU.A.1.c,include,produksi perkebunan,3,phrase,true
LU.A.1.c,include,perkebunan tembakau,3,phrase,true
LU.A.1.c,include,petani kopi,3,phrase,true
LU.A.1.c,positive,produksi meningkat,2,phrase,false
LU.A.1.c,negative,produksi menurun,2,phrase,false
LU.A.1.d,include,populasi ternak,3,phrase,true
LU.A.1.d,include,peternak sapi,3,phrase,true
LU.A.1.d,include,peternakan ayam,3,phrase,true
LU.A.1.d,positive,populasi meningkat,3,phrase,false
LU.A.1.d,negative,wabah ternak,4,phrase,false
LU.A.1.e,include,jasa pertanian,3,phrase,true
LU.A.1.e,include,penyewaan alat pertanian,3,phrase,true
LU.A.2,include,produksi kayu,3,phrase,true
LU.A.2,include,penebangan kayu,3,phrase,true
LU.A.2,exclude,pembalakan liar,4,phrase,false
LU.A.2,positive,produksi kayu meningkat,3,phrase,false
LU.A.2,negative,produksi kayu turun,3,phrase,false
LU.A.3,include,produksi perikanan,3,phrase,true
LU.A.3,include,hasil tangkapan ikan,3,phrase,true
LU.A.3,include,budidaya ikan,3,phrase,true
LU.A.3,positive,hasil tangkapan meningkat,3,phrase,false
LU.A.3,negative,hasil tangkapan menurun,3,phrase,false
LU.B,include,sektor pertambangan,3,phrase,true
LU.B.1,include,produksi minyak bumi,3,phrase,true
LU.B.1,include,panas bumi,3,phrase,true
LU.B.1,positive,produksi migas meningkat,3,phrase,false
LU.B.1,negative,produksi migas turun,3,phrase,false
LU.B.2,include,produksi batubara,3,phrase,true
LU.B.2,include,tambang lignit,3,phrase,true
LU.B.3,include,tambang bijih logam,3,phrase,true
LU.B.3,include,produksi bijih logam,3,phrase,true
LU.B.4,include,usaha penggalian,3,phrase,true
LU.B.4,include,tambang batu,3,phrase,true
LU.B.4,include,galian pasir,3,phrase,true
LU.C,include,industri pengolahan,3,phrase,true
LU.C,positive,industri tumbuh,3,phrase,false
LU.C,negative,industri terkontraksi,3,phrase,false
LU.C.1,include,kilang minyak,3,phrase,true
LU.C.1,include,industri pengilangan,3,phrase,true
LU.C.2,include,industri makanan,3,phrase,true
LU.C.2,include,industri minuman,3,phrase,true
LU.C.2,include,pabrik makanan,3,phrase,true
LU.C.2,positive,produksi meningkat,2,phrase,false
LU.C.2,negative,produksi menurun,2,phrase,false
LU.C.3,include,industri tembakau,3,phrase,true
LU.C.3,include,pabrik rokok,3,phrase,true
LU.C.4,include,industri tekstil,3,phrase,true
LU.C.4,include,pabrik pakaian,3,phrase,true
LU.C.5,include,industri kulit,3,phrase,true
LU.C.5,include,pabrik alas kaki,3,phrase,true
LU.C.6,include,industri kayu,3,phrase,true
LU.C.6,include,kerajinan rotan,3,phrase,true
LU.C.6,include,kerajinan bambu,3,phrase,true
LU.C.7,include,industri kertas,3,phrase,true
LU.C.7,include,usaha percetakan,3,phrase,true
LU.C.8,include,industri farmasi,3,phrase,true
LU.C.8,include,obat tradisional,3,phrase,true
LU.C.9,include,industri karet,3,phrase,true
LU.C.9,include,industri plastik,3,phrase,true
LU.C.10,include,industri semen,3,phrase,true
LU.C.10,include,industri keramik,3,phrase,true
LU.C.11,include,industri logam dasar,3,phrase,true
LU.C.11,include,pabrik baja,3,phrase,true
LU.C.12,include,industri barang logam,3,phrase,true
LU.C.12,include,industri elektronik,3,phrase,true
LU.C.12,include,peralatan listrik,3,phrase,true
LU.C.13,include,industri mesin,3,phrase,true
LU.C.13,include,pabrik mesin,3,phrase,true
LU.C.14,include,industri alat angkutan,3,phrase,true
LU.C.14,include,pabrik kendaraan,3,phrase,true
LU.C.15,include,industri furnitur,3,phrase,true
LU.C.15,include,produksi mebel,3,phrase,true
LU.C.16,include,jasa reparasi mesin,3,phrase,true
LU.C.16,include,pemasangan mesin industri,3,phrase,true
LU.D,include,pengadaan listrik dan gas,3,phrase,true
LU.D.1,include,produksi listrik,3,phrase,true
LU.D.1,include,pembangkit listrik,3,phrase,true
LU.D.1,positive,pasokan listrik meningkat,3,phrase,false
LU.D.1,negative,pemadaman listrik,3,phrase,false
LU.D.2,include,pengadaan gas,3,phrase,true
LU.D.2,include,produksi es,3,phrase,true
LU.E,include,pengadaan air minum,3,phrase,true
