taxonomy_code,keyword,priority,active
"LU.A","usaha pertanian","1","true"
"LU.A","kehutanan","2","true"
"LU.A","perikanan","3","true"
"LU.A","panen","4","true"
"LU.A","padi","5","true"
"LU.A","hortikultura","6","true"
"LU.A","perkebunan","7","true"
"LU.A","peternakan","8","true"
"LU.A","hasil hutan","9","true"
"LU.A","nelayan","10","true"
"LU.A.1","padi","1","true"
"LU.A.1","hortikultura","2","true"
"LU.A.1","perkebunan","3","true"
"LU.A.1","peternakan","4","true"
"LU.A.1","alsintan","5","true"
"LU.A.1","luas tanam","6","true"
"LU.A.1","produksi pertanian","7","true"
"LU.A.1.a","produksi padi","1","true"
"LU.A.1.a","luas tanam padi","2","true"
"LU.A.1.a","panen padi","3","true"
"LU.A.1.a","gagal panen","4","true"
"LU.A.1.a","lahan sawah","5","true"
"LU.A.1.a","produksi jagung","6","true"
"LU.A.1.a","harga gabah","7","true"
"LU.A.1.a","padi","8","true"
"LU.A.1.b","produksi hortikultura","1","true"
"LU.A.1.b","panen cabai","2","true"
"LU.A.1.b","harga cabai","3","true"
"LU.A.1.b","petani sayur","4","true"
"LU.A.1.b","produksi buah","5","true"
"LU.A.1.b","luas tanam hortikultura","6","true"
"LU.A.1.b","hortikultura","7","true"
"LU.A.1.c","produksi perkebunan","1","true"
"LU.A.1.c","perkebunan tembakau","2","true"
"LU.A.1.c","harga tembakau","3","true"
"LU.A.1.c","petani kopi","4","true"
"LU.A.1.c","produksi kopi","5","true"
"LU.A.1.c","panen perkebunan","6","true"
"LU.A.1.c","perkebunan","7","true"
"LU.A.1.d","populasi ternak","1","true"
"LU.A.1.d","peternak sapi","2","true"
"LU.A.1.d","peternakan ayam","3","true"
"LU.A.1.d","produksi telur","4","true"
"LU.A.1.d","harga ternak","5","true"
"LU.A.1.d","wabah ternak","6","true"
"LU.A.1.d","peternakan","7","true"
"LU.A.1.e","alsintan","1","true"
"LU.A.1.e","jasa pertanian","2","true"
"LU.A.1.e","penyuluh pertanian","3","true"
